reference,source_type,year,page,term,defined,type,definition,definitions_cited,definition_breadth,emic_component,functional_component,morphological_component,raw_material_component,technological_component,materialist_typological,region,notes
"Dodson, J., R. Fullagar, J. Furby, R. Jones, and I. Prosser 1993 Human and megafauna in a Late Pleistocene environment from Cuddie Springs, north western New South Wales. Archaeology in Oceania 28(2):94–9.",paper,1993,na,core,no,category,na,na,na,na,na,na,na,na,na,New South Wales,
"Doelman, T. 2005 Quarrying masses of information: an approach to the recording and interpretation of a quarry assemblage. Archaeology in Oceania 40(2):50–61.",paper,2005,54,core,cites,category,"""The different flake, tool and core attributes measured for this study were based on previous work in the region (Witter 1992 (sic); Holdaway et al. 1998) and attributes considered useful in reconstructing the reduction strategies and techniques used to organise the reduction of the available stone (Appendix 1, Doelman et al. 2001).""","Doelman, T., J. Webb, and M. Domanski 2001 Source to discard: patterns of lithic raw material procurement and use in Sturt National Park, northwestern New South Wales. Archaeology in Oceania 36(1):15–33.

Holdaway, S., D. Witter, P. Fanning, R. Musgrave, G. Cochrane, T. Doelman, S. Greenwood, D. Pigdon, and J. Reeves 1998 New approaches to open site spatial archaeology in Sturt National Park, New South Wales, Australia. Archaeology in Oceania 33(1):1–19.

Witter, D.C. 1990 Regions and resources. PhD, Canberra, Australian National University.",na,na,na,na,na,na,na,New South Wales,
"Doelman, T. 2005 Quarrying masses of information: an approach to the recording and interpretation of a quarry assemblage. Archaeology in Oceania 40(2):50–61.",paper,2005,54,core fragment,cites,subcategory,"""The different flake, tool and core attributes measured for this study were based on previous work in the region (Witter 1992 (sic); Holdaway et al. 1998) and attributes considered useful in reconstructing the reduction strategies and techniques used to organise the reduction of the available stone (Appendix 1, Doelman et al. 2001).""","Doelman, T., J. Webb, and M. Domanski 2001 Source to discard: patterns of lithic raw material procurement and use in Sturt National Park, northwestern New South Wales. Archaeology in Oceania 36(1):15–33.

Holdaway, S., D. Witter, P. Fanning, R. Musgrave, G. Cochrane, T. Doelman, S. Greenwood, D. Pigdon, and J. Reeves 1998 New approaches to open site spatial archaeology in Sturt National Park, New South Wales, Australia. Archaeology in Oceania 33(1):1–19.

Witter, D.C. 1990 Regions and resources. PhD, Canberra, Australian National University.",na,na,na,na,na,na,na,New South Wales,
"Doelman, T. 2005 Quarrying masses of information: an approach to the recording and interpretation of a quarry assemblage. Archaeology in Oceania 40(2):50–61.",paper,2005,54,core tool,cites,subcategory,"""The different flake, tool and core attributes measured for this study were based on previous work in the region (Witter 1992 (sic); Holdaway et al. 1998) and attributes considered useful in reconstructing the reduction strategies and techniques used to organise the reduction of the available stone (Appendix 1, Doelman et al. 2001).""","Doelman, T., J. Webb, and M. Domanski 2001 Source to discard: patterns of lithic raw material procurement and use in Sturt National Park, northwestern New South Wales. Archaeology in Oceania 36(1):15–33.

Holdaway, S., D. Witter, P. Fanning, R. Musgrave, G. Cochrane, T. Doelman, S. Greenwood, D. Pigdon, and J. Reeves 1998 New approaches to open site spatial archaeology in Sturt National Park, New South Wales, Australia. Archaeology in Oceania 33(1):1–19.

Witter, D.C. 1990 Regions and resources. PhD, Canberra, Australian National University.",na,na,na,na,na,na,na,New South Wales,
"Doelman, T. 2005 Quarrying masses of information: an approach to the recording and interpretation of a quarry assemblage. Archaeology in Oceania 40(2):50–61.",paper,2005,54,core tool fragment,cites,subcategory,"""The different flake, tool and core attributes measured for this study were based on previous work in the region (Witter 1992 (sic); Holdaway et al. 1998) and attributes considered useful in reconstructing the reduction strategies and techniques used to organise the reduction of the available stone (Appendix 1, Doelman et al. 2001).""","Doelman, T., J. Webb, and M. Domanski 2001 Source to discard: patterns of lithic raw material procurement and use in Sturt National Park, northwestern New South Wales. Archaeology in Oceania 36(1):15–33.

Holdaway, S., D. Witter, P. Fanning, R. Musgrave, G. Cochrane, T. Doelman, S. Greenwood, D. Pigdon, and J. Reeves 1998 New approaches to open site spatial archaeology in Sturt National Park, New South Wales, Australia. Archaeology in Oceania 33(1):1–19.

Witter, D.C. 1990 Regions and resources. PhD, Canberra, Australian National University.",na,na,na,na,na,na,na,New South Wales,
"Doelman, T. 2008 Time to quarry: the archaeology of stone procurement in northwestern New South Wales, Australia. Oxford, Archaeopress.",book,2008,35,core,yes,category,"""Negative scars from the removal of flakes"" and ""If flakes attributes were noted, such as a bulb of percussion... indicating that the core was originally a large flake.""",na,broad,no,explicit,no,no,explicit,typological,New South Wales,
"Doelman, T. 2008 Time to quarry: the archaeology of stone procurement in northwestern New South Wales, Australia. Oxford, Archaeopress.",book,2008,35,bi-platform core,yes,subcategory,"""Flaking from two directions""",na,na,no,implicit,no,no,explicit,typological,New South Wales,
"Doelman, T. 2008 Time to quarry: the archaeology of stone procurement in northwestern New South Wales, Australia. Oxford, Archaeopress.",book,2008,35,bidirectional core,yes,subcategory,"""Flakes removed in opposite directions from two platforms""",na,na,no,implicit,no,no,explicit,typological,New South Wales,
"Doelman, T. 2008 Time to quarry: the archaeology of stone procurement in northwestern New South Wales, Australia. Oxford, Archaeopress.",book,2008,35,cobble core,yes,subcategory,"""One or two minor flakes removed, remaining is cortex""",na,na,no,implicit,no,explicit,explicit,typological,New South Wales,
"Doelman, T. 2008 Time to quarry: the archaeology of stone procurement in northwestern New South Wales, Australia. Oxford, Archaeopress.",book,2008,35,core fragment,yes,subcategory,"""A broken core showing evidence of flake removal""",na,na,no,implicit,no,no,explicit,typological,New South Wales,
"Doelman, T. 2008 Time to quarry: the archaeology of stone procurement in northwestern New South Wales, Australia. Oxford, Archaeopress.",book,2008,35,microblade core,yes,subcategory,"""Small parallel flake scars""",na,na,no,implicit,explicit,no,explicit,typological,New South Wales,
"Doelman, T. 2008 Time to quarry: the archaeology of stone procurement in northwestern New South Wales, Australia. Oxford, Archaeopress.",book,2008,35,multi-platform core,yes,subcategory,"""Flaking from more than two directions""",na,na,no,implicit,no,no,explicit,typological,New South Wales,
"Doelman, T. 2008 Time to quarry: the archaeology of stone procurement in northwestern New South Wales, Australia. Oxford, Archaeopress.",book,2008,35,prismatic core,yes,subcategory,"""Blade production rotating from a single platform""",na,na,no,implicit,no,no,explicit,typological,New South Wales,
"Doelman, T. 2008 Time to quarry: the archaeology of stone procurement in northwestern New South Wales, Australia. Oxford, Archaeopress.",book,2008,35,tranchet core,yes,subcategory,"""Blade flakes removed from a flake axis""",na,na,no,implicit,no,no,explicit,typological,New South Wales,
"Doelman, T. 2008 Time to quarry: the archaeology of stone procurement in northwestern New South Wales, Australia. Oxford, Archaeopress.",book,2008,35,uni-platform core,yes,subcategory,"""Flaking from one direction""",na,na,no,implicit,no,no,explicit,typological,New South Wales,
"Doelman, T. 2008 Time to quarry: the archaeology of stone procurement in northwestern New South Wales, Australia. Oxford, Archaeopress.",book,2008,35,core fragment tool,yes,subcategory,"""As above ('a broken core showing evidence of flake removal') but with retouch""",na,broad,no,explicit,no,no,explicit,typological,New South Wales,
"Doelman, T. 2008 Time to quarry: the archaeology of stone procurement in northwestern New South Wales, Australia. Oxford, Archaeopress.",book,2008,35,core tool,yes,subcategory,"""As above ('negative scars from the removal of flakes') but with retouch""",na,broad,no,explicit,no,no,explicit,typological,New South Wales,
"Doelman, T. and G. Cochrane 2015 A composite model of scraper variation: a case study from the Stud Creek catchment, northwest NSW. Australian Archaeology 81(1):24–34.",paper,2015,na,na,na,na,na,na,na,na,na,na,na,na,na,New South Wales,
"Doelman, T. and G.W.G. Cochrane 2012 Design Theory and the Australian Tula Adze. Asian Perspectives 51(2):251–277.",paper,2012,na,core,no,category,na,na,na,na,na,na,na,na,na,Australia,
"Doelman, T. and J. Webb 2024 Facets of Variation: Macrocrystalline quartz reduction at Moolarben, central NSW, Australia. Journal of Archaeological Science: Reports 53:104330.",paper,2024,na,core,no,category,na,na,na,na,na,na,na,na,na,New South Wales,
"Doelman, T. and J. Webb 2024 Facets of Variation: Macrocrystalline quartz reduction at Moolarben, central NSW, Australia. Journal of Archaeological Science: Reports 53:104330.",paper,2024,na,bipolar core,no,subcategory,na,na,na,na,na,na,na,na,na,New South Wales,
"Doelman, T. and J. Webb 2024 Facets of Variation: Macrocrystalline quartz reduction at Moolarben, central NSW, Australia. Journal of Archaeological Science: Reports 53:104330.",paper,2024,na,core fragment,no,subcategory,na,na,na,na,na,na,na,na,na,New South Wales,
"Doelman, T. and J. Webb 2024 Facets of Variation: Macrocrystalline quartz reduction at Moolarben, central NSW, Australia. Journal of Archaeological Science: Reports 53:104330.",paper,2024,na,unidirectional core,no,subcategory,na,na,na,na,na,na,na,na,na,New South Wales,
"Doelman, T. and J. Webb 2024 Facets of Variation: Macrocrystalline quartz reduction at Moolarben, central NSW, Australia. Journal of Archaeological Science: Reports 53:104330.",paper,2024,na,bidirectional core,no,subcategory,na,na,na,na,na,na,na,na,na,New South Wales,
"Doelman, T. and J. Webb 2024 Facets of Variation: Macrocrystalline quartz reduction at Moolarben, central NSW, Australia. Journal of Archaeological Science: Reports 53:104330.",paper,2024,na,bifacial core,no,subcategory,na,na,na,na,na,na,na,na,na,New South Wales,
"Doelman, T. and J. Webb 2024 Facets of Variation: Macrocrystalline quartz reduction at Moolarben, central NSW, Australia. Journal of Archaeological Science: Reports 53:104330.",paper,2024,na,multiplatform core,no,subcategory,na,na,na,na,na,na,na,na,na,New South Wales,
"Doelman, T. and J. Webb 2024 Facets of Variation: Macrocrystalline quartz reduction at Moolarben, central NSW, Australia. Journal of Archaeological Science: Reports 53:104330.",paper,2024,na,prismatic core,no,subcategory,na,na,na,na,na,na,na,na,na,New South Wales,
